player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Javonte Williams,77803,HB,N CAROLINA,12,151,52,12,34.5,294,0,849,0,3,52,634,140.0,33,54,245,2,77,70.1,88.9,84.2,,55.1,79.0,88.0,60.3,40,0,152,14,110,181,0,0,14,165,5,852,634,4.2,5.6,1.38,65
Juwan Washington,39354,HB,S DIEGO ST,9,151,13,5,19.2,97,0,504,0,2,13,271,16.0,13,29,284,0,50,90.2,69.2,86.2,,61.2,75.7,67.0,58.5,30,0,100,17,97,175,0,0,22,168,2,504,271,1.79,3.3,1.03,95
Connor Slomka,44054,FB,ARMY,12,149,11,4,17.9,118,0,658,0,0,11,342,16.9,8,37,114,2,43,69.0,75.0,0.0,,68.6,56.9,72.1,71.8,38,2,0,0,3,261,0,0,0,149,8,658,342,2.3,4.4,0.0,0
J.J. Taylor,25512,HB,ARIZONA,11,147,38,7,21.4,154,0,719,2,10,38,485,88.0,26,42,109,0,35,90.3,84.7,85.2,,75.0,73.8,86.3,56.8,40,0,292,33,185,176,0,0,42,180,5,719,485,3.3,4.9,1.58,112
John Rhys Plumlee,97602,QB,OLE MISS,9,130,39,15,51.1,545,0,940,0,0,31,461,84.6,29,45,226,6,50,49.3,76.0,86.2,60.1,,,78.6,60.0,75,0,0,0,0,302,127,17,0,130,12,1067,531,3.61,7.3,,62
Lynn Bowden,61361,QB,KENTUCKY,12,135,44,21,51.0,642,0,1119,6,11,39,595,133.6,41,57,202,8,89,41.2,72.6,90.6,34.3,62.1,63.7,85.8,65.5,60,0,345,30,173,412,140,12,57,165,11,1259,642,4.37,8.6,1.99,36
Jatarvious Whitlow,61156,HB,AUBURN,10,146,45,11,37.2,272,1,729,3,2,45,437,92.6,18,45,115,5,49,36.4,65.8,42.3,,58.6,41.5,68.9,60.9,39,1,106,6,113,189,3,1,13,152,9,732,438,2.98,5.0,0.94,93
Jamie Newman,44948,QB,WAKE,11,121,23,4,22.8,137,0,502,0,0,18,315,38.7,8,35,339,4,65,63.5,87.3,80.6,89.2,,,64.4,60.3,50,1,0,0,0,385,100,25,0,121,6,602,403,2.76,4.1,,46
Aston Walter,29870,HB,RICE,11,145,25,12,48.1,370,1,769,1,3,25,488,60.4,15,33,275,3,75,58.6,77.2,42.9,76.2,90.8,60.3,74.4,66.9,64,1,48,11,82,191,0,0,13,156,8,769,488,3.37,5.3,0.59,69
Artavis Pierce,45749,HB,OREGON ST,12,145,24,15,46.4,404,0,870,0,1,24,555,57.0,26,41,265,1,29,80.7,78.8,86.8,,56.4,70.4,80.8,57.0,53,0,187,23,195,168,0,0,28,168,6,870,555,3.83,6.0,0.96,116
