player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Jalen Young,51400,S,FAU,11,5,8.1,60.0,95.7,21.3,12.8,0,0,1,5.0,165,68.0,72.9,41.0,82.6,77.0,68.4,1,33,22.2,6,0,3,75.0,12,267,279,7,16,20,1,130,79,0.5,10.8
Roderic Teamer,51405,S,TULANE,12,6,13.8,52.2,97.6,34.3,17.9,0,1,6,26.1,319,80.2,78.4,88.0,58.2,72.3,65.7,1,37,17.2,5,5,1,100.5,12,438,449,7,18,23,3,185,50,0.4,15.4
Jake Stoshak,51409,S,FAU,2,0,,,83.3,,,0,0,0,,165,63.4,68.9,72.1,60.0,60.0,,0,,,0,0,0,0.0,0,5,6,0,0,0,0,0,0,0.0,
Adarius Pickett,51413,S,UCLA,12,6,7.3,76.9,97.6,12.5,9.6,0,1,4,10.3,324,68.5,74.9,88.5,52.3,80.8,86.8,2,37,8.7,4,3,1,85.4,30,401,411,6,36,39,1,300,170,0.8,10.0
Sean Carter,51417,S,DOMINION,12,2,7.5,87.5,95.9,10.1,8.8,0,1,1,2.5,263,42.7,53.9,57.5,67.1,66.2,55.5,1,55,26.5,9,1,1,141.7,35,374,390,6,23,40,4,510,241,1.4,14.6
Jourdan Blake,51420,CB,SMU,4,0,2.0,100.0,100.0,23.0,23.0,0,0,0,0.0,287,56.3,58.7,76.4,,66.4,28.3,0,15,100.0,1,0,1,118.8,1,24,24,0,0,1,0,15,13,0.7,15.0
Jaylinn Hawkins,51423,S,CAL,12,1,14.0,37.5,93.4,104.3,39.1,0,0,1,12.5,130,74.8,71.2,15.9,70.5,63.9,71.9,3,33,11.1,2,1,3,21.4,3,325,348,4,15,8,0,53,6,0.2,17.7
Za'Carrius Green,51426,S,OKLA STATE,4,0,,,100.0,,,0,0,0,,262,64.2,66.6,75.3,,67.1,54.8,0,,,0,0,0,0.0,0,15,15,0,0,0,0,0,0,0.0,
JoJo McIntosh,51430,S,WASHINGTON,12,5,5.6,72.0,98.8,21.2,15.3,0,1,1,4.0,340,80.0,82.2,87.4,67.1,83.0,85.3,0,23,12.9,4,1,2,82.4,18,402,407,6,22,25,0,122,42,0.3,6.8
Jaquan Johnson,51433,S,MIAMI FL,10,4,9.5,81.8,94.9,28.2,23.1,0,1,0,0.0,220,85.4,87.4,85.3,68.0,85.5,86.5,1,12,3.7,1,0,0,49.6,9,261,275,3,22,11,0,55,20,0.2,6.1
Jalen Williams,51437,LB,CLEMSON,12,0,14.2,52.6,88.4,9.5,5.0,0,0,0,0.0,140,51.2,59.2,84.9,59.2,71.7,59.2,1,73,0.0,0,0,0,85.6,10,99,112,1,5,19,1,201,102,2.1,20.1
Bijon Parker,51438,S,NEW MEXICO,12,2,9.3,50.0,98.7,26.9,13.4,0,0,5,31.3,241,73.2,69.8,86.0,75.2,59.0,45.8,1,29,27.8,5,2,0,80.5,8,227,230,4,11,16,2,89,27,0.4,11.1
