player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Isaac Ruoss,77033,FB,NAVY,12,53.0,0,237,67.5,55.9,49.0,0,2,52,82.5,82.4,98.1,0,2,0,201,0,0,0,379,56,68,0,0,145,1
Jahlil Ryles,79680,G,MIDDLE TN,6,100.0,2,224,43.6,26.0,55.1,0,6,121,100.0,100.0,96.7,5,7,1,200,0,139,59,200,127,127,0,0,73,2
Nicky Dalmolin,122369,TE,DUKE,12,58.1,0,154,48.2,28.5,41.9,0,1,22,13.7,14.3,97.7,0,1,0,200,0,0,0,344,24,168,0,0,176,96
Demetris Robertson,38547,WR,AUBURN,11,37.5,0,115,63.5,,62.1,0,0,0,0.0,0.0,,0,0,0,200,0,0,0,533,0,329,0,0,200,0
Jjay Mcafee,147108,WR,GA SOUTHRN,12,57.8,0,174,58.3,,53.5,0,0,0,0.0,0.0,,0,0,0,200,0,0,0,346,0,146,0,0,200,1
Justin Olson,99695,WR,N CAROLINA,12,44.8,0,245,52.9,,63.6,0,0,0,0.0,0.0,,3,0,0,200,0,0,0,446,0,246,0,0,200,0
Joey Beljan,100863,TE,W KENTUCKY,12,61.4,0,346,75.3,55.9,81.2,0,2,53,31.4,31.3,98.1,1,2,0,199,0,0,1,324,57,182,0,1,142,292
Joshua Moore,78101,WR,TEXAS,9,45.4,0,311,59.4,,52.9,0,0,0,0.0,0.0,,0,0,0,199,0,0,0,438,0,239,0,0,199,1
Emeka Emezie,61517,WR,NC STATE,12,32.9,1,248,73.3,,67.5,0,0,0,0.0,0.0,,3,0,0,199,0,0,0,604,0,405,0,0,199,0
Monte Pottebaum,81252,FB,IOWA,12,75.6,0,192,60.3,51.9,51.0,0,2,34,43.6,41.0,97.1,2,2,0,198,0,0,0,262,34,83,0,0,164,43
Darrell Harding Jr.,98211,WR,DUKE,12,47.9,0,154,48.8,,53.2,0,0,0,0.0,0.0,,1,0,0,198,0,0,0,413,0,215,0,0,198,0
Brady McBride,77641,QB,TEXAS ST,7,36.3,0,314,63.9,,60.0,0,0,0,0.0,0.0,,2,0,0,198,0,0,0,545,0,318,0,0,198,0
Mycah Pittman,97270,WR,OREGON,10,48.8,0,264,55.3,,54.6,0,0,0,0.0,0.0,,2,0,0,197,0,0,0,404,0,207,0,0,197,0
Chevan Cordeiro,75886,QB,HAWAII,10,28.4,0,180,80.6,62.2,61.3,0,0,0,0.0,0.2,,3,0,0,197,0,0,0,693,1,457,0,0,196,0
Michael Warden,81923,C,VANDERBILT,4,100.0,0,333,55.4,54.7,59.2,2,2,125,100.0,100.0,98.4,2,4,0,197,197,0,0,197,134,134,0,0,63,0
Thomaz Whitford,138497,TE,NEW MEX ST,12,55.0,0,242,65.7,31.0,57.6,2,6,58,26.9,29.7,91.4,1,9,1,197,0,0,2,358,68,229,0,0,129,321
Travis Koontz,98720,TE,TEXAS TECH,11,49.7,1,315,64.4,62.5,66.5,0,1,23,10.7,10.4,97.8,2,1,0,197,0,0,0,396,23,222,0,0,174,204
Kam Brown,99206,WR,UCLA,12,35.9,0,324,54.8,,61.2,0,0,0,0.0,0.0,,1,0,0,197,0,0,0,549,0,352,0,0,197,0
Garrett Miller,101692,TE,PURDUE,10,53.3,0,273,56.5,50.8,66.3,1,4,45,21.1,21.5,92.2,2,6,1,196,0,0,1,368,47,219,0,0,149,239
Isiah Paige,145348,WR,DOMINION,11,43.1,0,263,50.4,,61.2,0,0,0,0.0,0.0,,2,0,0,195,0,0,0,452,0,251,0,0,195,0
Bryson Cannon,98712,TE,E MICHIGAN,9,51.6,0,160,52.6,56.8,47.9,0,2,42,19.4,19.4,97.6,1,2,0,195,0,0,0,378,44,227,0,0,151,184
Josh Remetich,123232,G,TULANE,6,100.0,0,319,52.4,52.5,54.6,2,3,100,100.0,100.0,96.5,2,6,1,195,0,1,0,195,105,105,194,0,90,0
Jamie Romo,101029,T,NAVY,7,100.0,0,237,72.1,71.4,70.9,0,2,33,100.0,100.0,97.0,1,2,0,195,0,0,175,195,33,33,0,19,162,0
Jaylen Turner,77526,G,BALL ST,3,100.0,1,117,64.1,47.3,69.0,0,3,102,100.0,100.0,98.5,3,3,0,195,0,195,0,195,110,110,0,0,85,0
Javon Harvey,97278,WR,DOMINION,12,46.5,1,263,50.2,,61.3,0,0,0,0.0,0.0,,3,0,0,195,0,0,0,419,0,223,0,0,195,0
Kevens Clercius,98107,WR,UCONN,11,38.7,0,146,53.6,60.9,53.1,0,0,1,0.3,0.3,100.0,3,0,0,194,0,0,0,501,1,308,0,0,193,0
Isiah Cox,78199,WR,OHIO,9,49.1,0,259,67.6,,60.3,0,0,0,0.0,0.0,,0,0,0,194,0,0,0,395,0,197,0,0,194,0
Kalil Pimpleton,61799,WR,C MICHIGAN,12,32.7,1,134,75.9,,60.9,0,0,0,0.0,0.0,,4,0,0,194,0,0,0,593,0,387,0,0,194,3
Michael Wiggs,41166,G,USF,8,100.0,0,327,48.2,19.5,52.6,0,5,85,100.0,100.0,95.9,0,6,1,194,0,0,0,194,90,90,191,0,104,1
De'Corian Clark,100892,WR,UTSA,12,41.0,0,331,81.5,,72.8,0,0,0,0.0,0.0,,0,0,0,193,0,0,0,471,0,277,0,0,193,0
Adonicas Sanders,62988,WR,GA TECH,11,41.6,0,176,69.7,,54.7,0,0,0,0.0,0.0,,0,0,0,193,0,0,0,464,0,271,0,0,193,0
Cameron Friel,146195,QB,UNLV,9,40.0,0,325,56.7,,60.0,0,0,0,0.0,0.0,,2,0,0,193,0,0,0,483,0,277,0,0,193,0
Gavin Schoenwald,84077,TE,VANDERBILT,12,63.7,0,333,46.4,74.5,46.0,0,0,26,20.2,19.1,100.0,1,0,0,193,0,0,0,303,26,136,0,0,167,221
Devon Williams,84469,WR,OREGON,11,45.7,1,264,79.9,,83.9,0,0,0,0.0,0.0,,4,0,0,193,0,0,0,422,0,229,0,0,193,0
Adonai Mitchell,146712,WR,GEORGIA,12,48.4,0,173,62.9,,54.6,0,0,0,0.0,0.0,,1,0,0,193,0,0,0,399,0,206,0,0,193,0
Seth Green,40668,TE,HOUSTON,12,63.9,0,182,60.2,42.0,51.9,1,0,15,12.6,13.5,96.7,0,1,0,193,0,0,0,302,17,126,0,0,176,214
Latrell Bible,98236,G,WYOMING,8,100.0,0,351,67.3,74.9,64.9,1,2,76,100.0,100.0,98.0,0,3,0,193,5,151,0,193,78,78,36,0,115,0
Justin Hall,61158,WR,BALL ST,11,33.7,0,117,73.3,,49.9,0,0,0,0.0,0.0,,2,0,0,193,0,0,0,572,0,340,0,0,193,0
Bryan Thompson,61777,WR,ARIZONA ST,10,50.4,0,110,54.0,,72.8,0,0,0,0.0,0.0,,1,0,0,193,0,0,0,383,0,188,0,0,193,1
Blake Trainor,99051,G,TEXAS A&M,8,100.0,0,312,51.4,23.5,57.3,3,7,94,100.0,100.0,93.6,0,11,1,193,0,112,2,193,101,101,22,57,92,0
Adam Karas,145965,T,AIR FORCE,9,99.5,0,101,79.8,81.0,78.7,0,0,6,85.7,85.7,100.0,2,0,0,193,0,0,91,194,6,7,0,25,187,77
Will Rogers,124184,QB,MISS STATE,12,20.9,0,227,89.9,62.2,60.0,0,0,1,0.1,0.1,100.0,4,0,0,192,0,0,0,919,1,720,0,0,191,0
Michael Bergen,98256,T,TOLEDO,7,100.0,0,316,55.8,43.2,61.6,0,4,87,100.0,100.0,97.7,1,4,0,192,0,0,25,192,93,93,0,167,99,0
Justin Tomlin,78482,QB,GA SOUTHRN,8,44.4,0,174,46.7,,60.0,0,0,0,0.0,0.0,,0,0,0,192,0,0,0,432,0,175,0,0,192,0
Ben Wrather,129740,G,NWESTERN,8,100.0,0,256,44.7,30.2,47.3,1,6,82,100.0,100.0,94.5,1,8,1,192,0,2,6,192,83,83,181,3,109,0
Joshua Cobbs,128408,WR,WYOMING,10,46.6,0,351,61.8,61.0,60.4,0,0,1,0.5,0.5,100.0,2,0,0,192,0,0,0,412,1,220,0,0,191,0
Reggie Sutton,81813,G,RUTGERS,3,100.0,0,278,68.3,76.3,65.8,0,2,97,100.0,100.0,99.0,0,2,0,192,0,0,0,192,101,101,192,0,91,0
CJ Lewis,61173,WR,BOSTON COL,8,61.7,0,121,63.8,68.5,65.1,0,0,2,1.7,1.7,100.0,0,0,0,192,0,0,0,311,2,121,0,0,190,22
Dennis Grosel,60351,QB,BOSTON COL,8,43.4,0,121,70.4,,60.0,0,0,0,0.0,0.0,,3,0,0,192,0,0,0,442,0,228,0,0,192,0
Xzavier Henderson,124380,WR,FLORIDA,12,50.7,0,163,66.6,,64.0,0,0,0,0.0,0.0,,1,0,0,191,0,0,0,377,0,186,0,0,191,0
