player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Amon-Ra St. Brown,84470,WR,DET,16,39.7,0,11,90.6,39.2,65.0,0,0,4,0.7,0.7,100.0,1,0,0,401,0,0,0,1009,4,608,0,0,397,0
Carter Warren,60023,T,NYJ,6,100.0,0,22,46.9,45.5,49.9,2,13,243,100.0,100.0,94.9,2,20,5,401,0,0,107,401,258,258,0,294,143,0
Bryce Young,123943,QB,CAR,16,37.1,1,5,56.0,,60.0,0,0,0,0.0,0.0,,6,0,0,396,0,0,0,1067,0,663,0,0,396,0
Daniel Bellinger,84041,TE,NYG,17,57.2,0,21,49.1,45.4,56.9,1,6,79,21.7,22.6,91.8,6,10,3,394,0,0,0,689,86,381,0,0,308,438
Isaiah Wynn,46048,G,MIA,7,100.0,0,17,47.8,67.5,43.2,0,4,213,100.0,100.0,99.1,3,4,0,392,0,392,0,392,224,224,0,0,168,0
Matthew Stafford,4924,QB,LA,15,38.9,0,26,85.9,,60.1,0,0,0,0.0,0.0,,7,0,0,389,0,0,0,999,0,603,0,0,389,0
Foster Moreau,47043,TE,NO,15,70.9,0,20,55.3,52.3,51.0,0,2,46,23.0,22.7,97.8,4,2,0,389,0,0,1,549,47,207,0,1,342,403
Michael Pittman Jr.,29049,WR,IND,16,39.2,0,14,77.7,75.1,53.3,0,0,3,0.5,0.5,100.0,8,0,0,388,0,0,0,991,3,606,0,0,385,34
Brock Purdy,77672,QB,SF,16,41.5,0,28,88.4,,60.0,0,0,0,0.0,0.0,,5,0,0,388,0,0,0,936,0,526,0,0,388,0
Jordan Love,40306,QB,GB,17,35.8,0,12,83.0,62.2,60.0,0,0,1,0.2,0.2,100.0,11,0,0,388,0,0,0,1083,1,665,0,0,387,0
Tua Tagovailoa,60326,QB,MIA,17,37.0,0,17,88.4,,60.0,0,0,0,0.0,0.0,,5,0,0,387,0,0,0,1045,0,638,0,0,387,0
Matt Feiler,9289,G,TB,6,100.0,0,30,54.7,65.0,52.2,2,10,229,100.0,100.0,97.4,2,12,0,386,0,386,0,386,244,244,0,0,142,0
